#ETS2
austria;A;1.31
belgium;B;1.56
bulgaria;BG;1.11
czech;CZ;1.279
denmark;DK;1.54
estonia;EST;1.38
finland;FI;1.47
france;F;1.54
germany;D;1.31
hungary;HU;1.31
italy;I;1.53
latvia;LV;1.23
lithuania;LT;1.1
luxembourg;L;1.18
netherlands;NL;1.4
norway;N;1.71
poland;PL;1.18
romania;RO;1.22
russia;RU;0.57
slovakia;SK;1.29
sweden;S;1.61
switzerland;CH;1.53
turkey;TR;1.02
uk;GB;1.55
#ATS
arizona;AZ;0.79753543
california;CA;1.0669909
nevada;NV;0.86093672
new_mexico;NM;0.7684765
oregon;OR;0.85036984
utah;UT;0.78432682
washington;WA;0.8847122
#ProMods
aland;AX;1.227
albania;AL;1.45
andorra;AND;1.04
belarus;BY;0.72
bosnia;BIH;1.18
croatia;HR;1.29
cyprus;CY;1.21
faroe;FO;0.93
georgia;GE;0.82
greece;GR;1.38
iceland;IS;1.59
ireland;IRL;1.35
iom;GBM;1.29
jersey;GBJ;1.29
liecht;FL;1.30
macedonia;MK;0.98
mnegro;MNE;1.21
moldova;MD;0.82
monaco;MC;1.32
nireland;GB;1.29
portugal;P;1.4
serbia;SRB;1.37
slovenia;SLO;1.27
spain;E;1.19
svalbard;N;1.69
ukraine;UA;1
#ProModsME
egypt;ET;0.27
iraq;IRQ;0.70
israel;IL;1.32
jordan;HKJ;0.70
lebanon;RL;0.48
saudia;KSA;0.11
syria;SYR;0.47
westbank;PS;1.32
