[Default]
buttonAccept;Accept
buttonAddCustomPath;Add
buttonAddUserColor;+ slot
buttonApply;Apply
buttonCancel;Cancel
buttonCargoMarketRandomizeCargoCity;Randomize Cargo list
buttonCargoMarketRandomizeCargoCompany;Randomize Cargo list
buttonCargoMarketResetCargoCity;Reset Cargo list
buttonCargoMarketResetCargoCompany;Reset Cargo list
buttonChooseFolder;Choose folder
buttonClearColor;Clear
buttonCloneProfile;Clone profile
buttonConvoyToolsGPSCurrentPositionCopy;Copy current position
buttonConvoyToolsGPSCurrentPositionPaste;Paste current position
buttonConvoyToolsGPSStoredGPSPathCopy;Copy GPS path
buttonConvoyToolsGPSStoredGPSPathPaste;Paste GPS path
buttonConvoyToolsGPSTruckPositionMultySaveCopy;Copy truck position from multiple saves
buttonConvoyToolsGPSTruckPositionMultySavePaste;Create multiple saves with different truck positions
buttonCopy;Copy
buttonDBClear;Clear
buttonDBExport;Export
buttonDBImport;Import
buttonEdit;Edit
buttonEditCPlist;Edit list
buttonExport;Export
buttonExportSettings;Export
buttonFreightMarketAddJob;Add Job to list
buttonFreightMarketClearJobList;Clear list
buttonFreightMarketRandomizeCargo;Random
buttonImport;Import
buttonImportSettings;Import
buttonMainAddCustomFolder;Add Custom Folder
buttonMainCloseSave;Unload
buttonMainDecryptSave;Decrypt
buttonMainGameSwitchATS;ATS
buttonMainGameSwitchETS;ETS2
buttonMainLoadSave;Load
buttonMainLoadSaveSteamCloud;Disable Steam Cloud
buttonMainWriteSave;Save
buttonOK;OK
buttonPaste;Paste
buttonPlayerLevelMaximum;MAX >>
buttonPlayerLevelMinimum;<< MIN
buttonProfilesAndSavesOpenSaveFolder;Open Folder
buttonRenameProfile;Rename profile
buttonReplaceColors;↑↑↑ Replace ↑↑↑
buttonRestoreProfileBackup;Restore profile Backup
buttonSave;Save
buttonSelectFile;Select file ...
buttonShareTruckTruckDetailsCopy;Copy Truck Datails
buttonShareTruckTruckDetailsPaste;Paste Truck Datails
buttonShareTruckTruckPaintCopy;Copy Paint Settings
buttonShareTruckTruckPaintPaste;Paste Paint Settings
buttonShareTruckWholeTruckCopy;Copy All Truck Settings
buttonShareTruckWholeTruckPaste;Paste All Truck Settings
buttonUserColorsShareColors;Share colors
buttonUserCompanyCitiesUnVisit;Unvisit
buttonUserCompanyCitiesVisit;Visit
buttonUserCompanyDriversFire;Fire
buttonUserCompanyDriversHire;Hire
buttonUserCompanyGaragesBuy;Buy
buttonUserCompanyGaragesBuyDowngrade;Downgrade
buttonUserCompanyGaragesBuyUpgrade;Buy and Upgrade
buttonUserCompanyGaragesSell;Sell
buttonUserCompanyGaragesUpgrade;Upgrade
buttonUserTrailerSelectCurrent;Select Current Trailer
buttonUserTrailerSwitchCurrent;Set as Current Trailer
buttonUserTruckSelectCurrent;Current
buttonUserTruckSwitchCurrent;Switch current Truck to this Truck
checkBoxCreateBackup;Make backup .zip file
checkBoxFreightMarketFilterDestination;Filter
checkBoxFreightMarketFilterSource;Filter
checkBoxFreightMarketRandomDest;RND
checkBoxFullCloning;Full save cloning
checkBoxMutiCloning;Multiple clones
