[it-IT]
berlin;Berlino
bern;Berna
bremen;Brema
brussel;Bruxelles
dijon;Digione
dresden;Dresda
dusseldorf;Dusseldorf
edinburgh;Edinburgo
frankfurt;Francoforte sul Meno
geneve;Ginevra
hamburg;Hamburgo
koln;Colonia
liege;Liegi
london;Londra
luxembourg;Lussemburgo
lyon;Lione
magdeburg;Magdeburgo
munchen;Monaco
nurnberg;Nuremberg
osnabruck;Osnabruck
paris;Parigi
poznan;Poznan
prague;Praga
salzburg;Salisburgo
strasbourg;Strasburgo
stuttgart;Stoccarda
travemunde;Travemunde
wien;Vienna
wroclaw;Wroclaw
zurich;Zurigo
bialystok;Bialystok
bystrica;Bansk Bystrica
gdansk;Gdansk
kosice;Kosice
krakow;Cracovia
lodz;Lodz
lublin;Lublino
pecs;Pecs
warszawa;Varsavia
goteborg;Goteborg
jonkoping;Jonkoping
kapellskar;Kapellskar
kobenhavn;Copenhagen
linkoping;Linkoping
malmo;Malmo
nynashamn;Nynashamn
orebro;Orebro
sodertalje;Sodertalje
stockholm;Stoccolma
vasteraas;Vasteraas
vaxjo;Vaxjo
marseille;Marsiglia
nice;Nizza
toulouse;Tolosa
genova;Genoa
roma;Rome
klaipeda;Klaipeda
mazeikiai;Mazeikiai
panevezys;Panevezys
parnu;Parnu
petersburg;San Pietroburgo
rezekne;Rezekne
riga;Riga
siauliai;Siauliai
tallinn;Tallin
