[it-IT]
buttonAddCustomPath;Aggiungi
buttonCancel;Cancella
buttonCargoMarketRandomizeCargoCity;Elenco casuale citta' dei trasporti
buttonCargoMarketRandomizeCargoCompany;Elenco casuale compagnie di trasporti
buttonCargoMarketResetCargoCity;Resetta elenco trasporti
buttonCargoMarketResetCargoCompany;Resetta elenco compagnie di trasporto
buttonChooseFolder;Scegli cartella
buttonClearColor;Pulisci
buttonConvoyToolsGPSCurrentPositionCopy;Copia posizione attuale
buttonConvoyToolsGPSCurrentPositionPaste;Incolla posizione attuale
buttonConvoyToolsGPSStoredGPSPathCopy;Copia percorso GPS
buttonConvoyToolsGPSStoredGPSPathPaste;Incolla percorso GPS
buttonConvoyToolsGPSTruckPositionMultySaveCopy;Copia posizione camion da piu' salvataggi
buttonConvoyToolsGPSTruckPositionMultySavePaste;Crea piu' salvataggi da con differenti posizioni del camion
buttonDBClear;Pulisci
buttonDBExport;Esporta
buttonDBImport;Importa
buttonEditCPlist;Modifica elenco
buttonExport;Esporta
buttonFreightMarketAddJob;Aggiungi lavoro all'elenco
buttonFreightMarketClearJobList;Pulisci elenco
buttonFreightMarketRandomizeCargo;Casuale
buttonImport;Importa
buttonMainAddCustomFolder;Aggiungi cartella personalizzata
buttonMainDecryptSave;Decripta
buttonMainLoadSave;Carica
buttonMainWriteSave;Salva
buttonProfilesAndSavesOpenSaveFolder;Apri cartella
buttonReplaceColors;↑↑↑ Sostituisci ↑↑↑
buttonSave;Salva
buttonShareTruckTruckDetailsCopy;Copia impostazioni camion
buttonShareTruckTruckDetailsPaste;Incolla impostazioni camion
buttonShareTruckTruckPaintCopy;Copia impostazioni verniciatura
buttonShareTruckTruckPaintPaste;Incolla impostazioni verniciatura
buttonShareTruckWholeTruckCopy;Copia tutte le impostazioni del camion
buttonShareTruckWholeTruckPaste;Incolla tutte le impostazioni del camion
buttonUserColorsShareColors;Condividi colori
buttonUserCompanyCitiesUnVisit;Non visitato
buttonUserCompanyCitiesVisit;Visita
buttonUserCompanyGaragesBuy;Acquista
buttonUserCompanyGaragesBuyDowngrade;Retrocedi
buttonUserCompanyGaragesBuyUpgrade;Acquista e aggiorna
buttonUserCompanyGaragesManage;Gestisci
buttonUserCompanyGaragesSell;Vendi
buttonUserCompanyGaragesUpgrade;Aggiorna
buttonUserTrailerSelectCurrent;Seleziona rimorchio attuale
buttonUserTrailerSwitchCurrent;Imposta come rimorchio attuale
buttonUserTruckSelectCurrent;Attuale
buttonUserTruckSwitchCurrent;Sostituisci camion attuale con questo
checkBoxFreightMarketFilterDestination;Filtra
checkBoxFreightMarketFilterSource;Filtra
error_could_not_complete_jobs_loop;Impossibile completare il ciclo dei lavori
error_could_not_decode_file;Impossibile decodificare il file
error_could_not_find_file;Impossibile trovare il file
error_could_not_write_to_file;Impossibile scrivere il file
error_during_importing_db;Errore durante l'importazione dell'archivio
error_exception;Eccezione del programma
error_file_not_decoded;File non decodificato
error_file_was_modified;Il file è stato modificato dal gioco
error_job_parameters_not_filled;Non tutti i parametri del lavoro sono riempiti
error_save_version_not_detected;Versione del file di salvataggio non rilevata
error_sql_exception;Eccezione dell'archivio
FormAboutBox;Riguardo {0}
FormAddCustomFolder;Modifica cartelle personali
FormColorPicker;Cattura colore
FormSettings;Impostazioni
FormShareUserColors;Condividi colori utente
groupBoxDataBase;Archivio
groupBoxFolderType;Tipo cartella
groupBoxGameType;Gioco
groupBoxImportedColors;Colori importati
groupBoxMainProfilesAndSaves;Profili e salvataggi
groupBoxProfilePlayerLevel;Livello giocatore
groupBoxProfileSkill;Abilità
groupBoxProfileUserColors;Colori utente
groupBoxUserTrailerShareTrailerSettings;Condividi impostazioni rimorchio
groupBoxUserTrailerTrailer;Rimorchio
groupBoxUserTrailerTrailerDetails;Dettagli
groupBoxUserTruckShareTruckSettings;COndividi impostazioni camion
groupBoxUserTruckTruck;Camion
groupBoxUserTruckTruckDetails;Dettagli
Kilometers;Chilometri
labelCargoMarketCity;Citta'
labelCargoMarketCompany;Compagnia
labelCargoMarketSource;Origine
labelCity;Citta'
labelCurrency;Moneta
labelDistance;Distanza
labelDownloadDescription;Puoi scaricare l'ultima versione da
labelFreightMarketCargo;Carico
labelFreightMarketCity;Citta'
labelFreightMarketCompany;Compagnia
labelFreightMarketCompanyF;Compagnia
labelFreightMarketCountryF;Paese
labelFreightMarketDestination;Destinazione
labelFreightMarketDistance;Lunghezza totale percorso:
labelFreightMarketFilterMain;Filtro
labelFreightMarketSource;Origine
labelFreightMarketUrgency;Urgencza
labelHowtoDescription;Come fare
labelJobPickupTime;Tempo rilevanza carico
labelLoopEvery;Cicla ogni
labelnew;nuovo
labelold;vecchio
labelor;o
labelProfileSkill1;Lunghezza distanza
labelProfileSkill2;Valore massimo del carico
labelProfileSkill3;Fragilita' carico
labelProfileSkill4;Consegna in tempo
labelProfileSkill5;Guida economica
labelSupportedGameVersions;Versioni del gioco supportate
labelTrailerPartNameBody;Corpo
labelTrailerPartNameCargo;Carico
labelTrailerPartNameChassis;Telaio
labelTrailerPartNameWheels;Ruote
labelTruckDetailsFuel;Carburante
labelTruckPartNameCabin;Cabina
labelTruckPartNameChassis;Telaio
labelTruckPartNameEngine;Motore
labelTruckPartNameTransmission;Trasmissione
labelTruckPartNameWheels;Ruote
labelUserCompanyCompanyName;Nome Compagnia
labelUserCompanyHQcity;Citta' HQ
labelUserCompanyMoneyAccount;Quantità denaro
labelUserCompanyVisitedCities;Citta' visitate
labelUserTrailerLicensePlate;Targa
labelUserTruckLicensePlate;Targa
labelVersion;Versione {0} (alpha)
Large;Grande
message_database_created;Struttura archivio creata.
message_database_missing_creating_db;File archivo mancante. Creando l'archivio...
message_database_missing_creating_db_structure;File archivo mancante. Creando la struttura dell'archivio...
message_decoding_save_file;Decodificando file salvataggio...
message_exporting_database;Esportando l'archivio...
message_file_saved;File salvato.
message_importing_database;Importando l'archivio...
message_loading_save_file;Caricando file salvataggio...
message_no_matching_cities;Nessuna citta' corrisponde ai criteri del filtro.
message_operation_finished;Lavoro completo.
message_preparing_data;Preparando i dati...
message_saving_file;Salvando il file...
Miles;Miglia
Not owned;Non posseduti
radioButtonProfileFolderType;Cartella profili
radioButtonRootFolderType;Cartella principale
radioButtonSaveFolderType;Cartella salvataggi
radioButtonUnknownFolderType;Sconosciuto
Small;Piccolo
tabPageCargoMarket;Negozio carichi
tabPageCompany;Compangnia
tabPageConvoyTools;Strumenti per rimorchi
tabPageFreightMarket;Negozio merci
tabPageProfile;Profilo
tabPageTrailer;Rimorchio
tabPageTruck;Camion
Tiny;Minuscolo
toolStripMenuItemAbout;Riguardo
toolStripMenuItemCreateTrFile;Traduci
toolStripMenuItemDownload;Scarica
toolStripMenuItemExit;Esci
toolStripMenuItemHelp;Aiuto
toolStripMenuItemLanguage;Lingua
toolStripMenuItemProgram;Programma
toolStripMenuItemSettings;Impostazioni
tooltipbuttonProfilesAndSavesRefreshAll;Ricarica
