[ja-JP]
+all;全て
austria;オーストリア
belgium;ベルギー
bulgaria;ブルガリア
czech;チェコ
denmark;デンマーク
estonia;エストニア
finland;フィンランド
france;フランス
germany;ドイツ
hungary;ハンガリー
italy;イタリア
latvia;ラトビア
lithuania;リトアニア
luxembourg;ルクセンブルグ
netherlands;オランダ
norway;ノルウェー
poland;ポーランド
romania;ルーマニア
russia;ロシア
slovakia;スロベキア
sweden;スウェーデン
switzerland;スイス
turkey;七面鳥
uk;イギリス
arizona;アリゾナ
california;カリフォルニア
nevada;ネバダ
new_mexico;ニューメキシコ
oregon;オレゴン
utah;ユタ
washington;ワシントン
aland;オーランド諸島
andorra;アンドラ公国
belarus;ベラルーシ
croatia;クロアチア
faroe;フェロー諸島
iceland;アイスランド
ireland;アイルランド
liecht;リヒテンシュタイン
moldova;モルドバ
serbia;セルビア
slovenia;スロバニア
spain;スペイン
ukraine;ウクライナ
