[pt-BR]
+all;Todas
agrominta;Agrominta UAB (Usinas)
agrominta_a;Agrominta UAB (Animais)
batisse_road;Bâtisse (Trabalho na estrada)
batisse_wind;Bâtisse (Turbina de vento)
bit_rd_grg;Bitumen (Garagem)
bit_rd_svc;Bitumen (Serviço)
bit_rd_wrk;Bitumen (Trabalho na estrada)
cemelt_bas;Cemeltex (Base de escavação)
cemelt_fl_ru;Cemeltex (Casa) (ru)
cemelt_fla;Cemeltex (Casa)
cemelt_hal;Cemeltex (Salão)
cemelt_win;Cemeltex (Turbina de vento)
cha_el_mkt;Charged (Mercado)
cha_el_whs;Charged (Armazém)
chm_che_plnt;Chemso Ltd. (Usina)
cm_min_plnt;Coastline Mining (Usina)
cm_min_qry;Coastline Mining (Pedreira)
costruzi_fla;Costruzione di Edifici (Casa)
costruzi_hal;Costruzione di Edifici (Salão)
costruzi_win;Costruzione di Edifici (Turbina eólica)
eviksi;Evikši ZS (Usinas)
eviksi_a;Evikši ZS (Animais)
gal_oil_gst;Gallon Oil (Posto de gasolina)
gal_oil_ref;Gallon Oil (Refinaria)
gm_food_plnt;Global Mills (Fábrica de alimentos)
hs_mkt;Home Store (Mercado)
hs_whs;Home Store (Armazém)
konstnr;KN KonstNorr (Base de escavação)
konstnr_br;KN KonstNorr (Ponte)
konstnr_hs;KN KonstNorr (Casa)
konstnr_wind;KN KonstNorr (Turbina eólica)
onnelik;Õnnelik talu (Usinas)
onnelik_a;Õnnelik talu (Animais)
pns_con_grg;Plaster & Sons (Garagem)
pns_con_whs;Plaster & Sons (Armazém)
scania_dlr;Scania (Revendedora)
scania_fac;Scania (Fábrica)
st_met_whs;Steeler (Armazém)
vm_car_dlr;Voltison (Revendedora)
vm_car_pln;Voltison (Usina)
vm_car_whs;Voltison (Armazém)
volvo_dlr;Volvo (Revendedora)
volvo_fac;Volvo (Fábrica)
wal_food_mkt;Wallbert (Mercado)
wal_food_whs;Wallbert (Armazém)
wal_mkt;Wallbert (Mercado)
wal_whs;Wallbert (Armazém)
zelenye;Zelenye polya (Usinas)
zelenye_a;Zelenye polya (Animais)
