[ru-RU]
a_coruna;А-Корунья
aalborg;Ольборг
aberdeen;Абердин
ajaccio;Аяччо
albacete;Альбасете
alban;Сент-Альбан-дю-Рон
algeciras;Альхесирас
almaraz;Альмарас
almeria;Альмерия
amsterdam;Амстердам
ancona;Анкона
bacau;Бакэу
badajoz;Бадахос
bailen;Байлен
barcelona;Барселона
bari;Бари
bastia;Бастия
bayonne;Байонна
beja;Бежа
bergen;Берген
berlin;Берлин
bern;Берн
bialystok;Белосток
bilbao;Бильбао
birmingham;Бирмингем
bologna;Болонья
bonifacio;Бонифачо
bordeaux;Бордо
bourges;Бурже
brasov;Брашов
bratislava;Братислава
bremen;Бремен
brest;Брест
brno;Брно
brussel;Брюссель
bucuresti;Бухарест
budapest;Будапешт
burgas;Бургас
burgos;Бургос
bystrica;Банска-Бистрица
cagliari;Кальяри
calais;Кале
calarasi;Кэлэраши
calvi;Кальви
cambridge;Кембридж
cardiff;Кардифф
carlisle;Карлайл
cassino;Кассино
catania;Катания
catanzaro;Катандзаро
cernavoda;Чернаводэ
ciudad_real;Сьюдад-Реаль
civaux;Сиво
clermont;Клермон-Ферран
cluj_napoca;Клуж-Напока
coimbra;Коимбра
constanta;Констанца
cordoba;Кордоба
corticadas;Кортисадаш
craiova;Крайова
daugavpils;Даугавпилс
debrecen;Дебрецен
dijon;Дижон
dortmund;Дортмунд
dover;Дувр
dresden;Дрезден
duisburg;Дуйсбург
dusseldorf;Дюссельдорф
edinburgh;Эдинбург
edirne;Эдирне
el_ejido;Эль-Эхидо
erfurt;Эрфурт
esbjerg;Эсбьерг
evora;Эвора
faro;Фару
felixstowe;Филикстоу
firenze;Флоренция
frankfurt;Франкфурт-на-Майне
frederikshv;Фредериксхавн
galati;Галац
gdansk;Гданьск
gedser;Гедсер
geneve;Женева
genova;Генуя
gijon;Хихон
glasgow;Глазго
golfech;Гольфеш
goteborg;Гётеборг
granada;Гранада
graz;Грац
grimsby;Гримсби
groningen;Гронинген
guarda;Гуарда
hamburg;Гамбург
hannover;Ганновер
helsingborg;Хельсингборг
helsinki;Хельсинки
hirtshals;Хиртсхальс
huelva;Уэльва
hunedoara;Хунедоара
iasi;Яссы
innsbruck;Инсбрук
istanbul;Стамбул
jonkoping;Йёнчёпинг
kaliningrad;Калининград
kalmar;Кальмар
kapellskar;Капельшер
karlovo;Карлово
karlskrona;Карлскруна
kassel;Кассель
katowice;Катовице
kaunas;Каунас
kiel;Киль
klagenfurt;Клагенфурт-ам-Вёртерзе
klaipeda;Клайпеда
kobenhavn;Копенгаген
koln;Кёльн
kosice;Кошице
kotka;Котка
kouvola;Коувола
kozloduy;Козлодуй
krakow;Краков
kristiansand;Кристиансанн
kunda;Кунда
lacq;Лак
lahti;Лахти
larochelle;Ла-Рошель
laurent;Сен-Лоран
lehavre;Гавр
leipzig;Лейпциг
lemans;Ле-Ман
leon;Леон
liege;Льеж
liepaja;Лиепая
lile_rousse;Л'Иль-Рус
lille;Лилль
limoges;Лимож
linkoping;Линчёпинг
linz;Линц
lisboa;Лиссабон
liverpool;Ливерпуль
livorno;Ливорно
lleida;Льейда
lodz;Лодзь
london;Лондон
loviisa;Ловийса
lublin;Люблин
luga;Луга
luxembourg;Люксембург
lyon;Лион
madrid;Мадрид
magdeburg;Магдебург
malaga;Малага
malmo;Мальмё
manchester;Манчестер
mangalia;Мангалия
mannheim;Мангейм
marseille;Марсель
mazeikiai;Мажейкяй
mengibar;Менхибар
messina;Мессина
metz;Мец
milano;Милан
montpellier;Монпелье
munchen;Мюнхен
murcia;Мурсия
naantali;Наантали
nantes;Нант
napoli;Неаполь
narva;Нарва
navia;Навия
newcastle;Ньюкасл-апон-Тайн
nice;Ницца
nurnberg;Нюрнберг
nynashamn;Нюнесхамн
o_barco;О-Барко-де-Вальдеоррас
odense;Оденсе
olbia;Ольбия
olhao;Ольян
olkiluoto;Олкилуото
olsztyn;Ольштын
orebro;Эребру
oslo;Осло
osnabruck;Оснабрюк
ostrava;Острава
paldiski;Палдиски
palermo;Палермо
paluel;Палюэль
pamplona;Памплона
panevezys;Паневежис
paris;Париж
parma;Парма
parnu;Пярну
pecs;Печ
pernik;Перник
pescara;Пескара
petersburg;Санкт-Петербург
pirdop;Пирдоп
pitesti;Питешти
pleven;Плевен
plovdiv;Пловдив
plymouth;Плимут
ponte_de_sor;Понти-ди-Сор
pori;Пори
port_sagunt;Сагунто-порт
porto;Порту
porto_vecchi;Порто-Веккьо
poznan;Познань
prague;Прага
pskov;Псков
puertollano;Пуэртольяно
reims;Реймс
rennes;Рен
resita;Решица
rezekne;Резекне
riga;Рига
roma;Рим
roscoff;Роскоф
rostock;Росток
rotterdam;Роттердам
ruse;Русе
salamanca;Саламанка
salzburg;Зальцбург
sangiovanni;Вилла-Сан-Джованни
santander;Сантандер
sassari;Сассари
setubal;Сетубал
sevilla;Севилья
sheffield;Шеффилд
siauliai;Шяуляй
sines;Синиш
sodertalje;Сёдертелье
sofia;София
soria;Сория
sosnovy_bor;Сосновый Бор
southampton;Саутгемптон
stavanger;Ставангер
stockholm;Стокгольм
strasbourg;Страсбург
stuttgart;Штутгарт
suzzara;Судзара
swansea;Суонси
szczecin;Щецин
szeged;Сегед
tallinn;Таллин
tampere;Тампере
taranto;Таранто
targu_mures;Тыргу-Муреш
tarragona;Таррагона
tartu;Тарту
tekirdag;Текирдаг
terni;Терни
teruel;Теруэль
timisoara;Тимишоара
torino;Турин
toulouse;Тулуза
travemunde;Травемюнде
trelleborg;Треллеборг
turku;Турку
uppsala;Уппсала
utena;Утена
valencia;Валенсия
valladolid;Вальядолид
valmiera;Валмиера
vandellos;Вандельос
varna;Варна
vasteraas;Вестерос
vaxjo;Векшё
veli_tarnovo;Велико-Тырново
venezia;Венеция
ventspils;Вентспилс
verona;Верона
vigo;Виго
villarreal;Вильярреаль
vilnius;Вильнюс
vyborg;Выборг
warszawa;Варшава
wien;Вена
wroclaw;Вроцлав
zaragoza;Сарагоса
zurich;Цюрих
