[ru-RU]
buttonAccept;Принять
buttonAddCustomPath;Добавить
buttonAddUserColor;+ слот
buttonApply;Применить
buttonCancel;Отмена
buttonCargoMarketRandomizeCargoCity;Сгенерировать список грузов
buttonCargoMarketRandomizeCargoCompany;Сгенерировать список грузов
buttonCargoMarketResetCargoCity;Очистить список грузов
buttonCargoMarketResetCargoCompany;Очистить список грузов
buttonChooseFolder;Выбрать папку
buttonClearColor;Очистить
buttonCloneProfile;Клонировать
buttonConvoyToolsGPSCurrentPositionCopy;Скопировать положение грузовика
buttonConvoyToolsGPSCurrentPositionPaste;Установить положение грузовика
buttonConvoyToolsGPSStoredGPSPathCopy;Скопировать GPS маршрут
buttonConvoyToolsGPSStoredGPSPathPaste;Задать GPS маршрут
buttonConvoyToolsGPSTruckPositionMultySaveCopy;Скопировать положение грузовика из нескольких сохранений
buttonConvoyToolsGPSTruckPositionMultySavePaste;Создать сохранения с разными положения грузовика
buttonCopy;Копировать
buttonDBClear;Очистить
buttonDBExport;Экспортировать
buttonDBImport;Импортировать
buttonEdit;Изменить
buttonEditCPlist;Редактировать список
buttonExport;Экспортировать
buttonExportSettings;Экспорт
buttonFreightMarketAddJob;Добавить груз в список
buttonFreightMarketClearJobList;Очистить список грузов
buttonFreightMarketRandomizeCargo;Случайный
buttonImport;Импортировать
buttonImportSettings;Импорт
buttonMainAddCustomFolder;Добавить папку
buttonMainCloseSave;Выгрузить
buttonMainDecryptSave;Расшифровать
buttonMainLoadSave;Загрузить
buttonMainLoadSaveSteamCloud;Отключите Steam Cloud
buttonMainWriteSave;Сохранить
buttonPaste;Вставить
buttonPlayerLevelMaximum;Макс. >>
buttonPlayerLevelMinimum;<< Мин.
buttonProfilesAndSavesOpenSaveFolder;Открыть папку
buttonRenameProfile;Переименовать
buttonReplaceColors;↑↑↑ Заменить ↑↑↑
buttonRestoreProfileBackup;Восстановить профиль из Бекапа
buttonSave;Сохранить
buttonSelectFile;Выбрать файл ...
buttonShareTruckTruckDetailsCopy;Скопировать детали грузовика
buttonShareTruckTruckDetailsPaste;Заменить детали грузовика
buttonShareTruckTruckPaintCopy;Скопировать покраску
buttonShareTruckTruckPaintPaste;Установить покраску
buttonShareTruckWholeTruckCopy;Скопировать все детали грузовика
buttonShareTruckWholeTruckPaste;Заменить все детали грузовика
buttonUserColorsShareColors;Поделиться
buttonUserCompanyCitiesUnVisit;Забыть
buttonUserCompanyCitiesVisit;Посетить
buttonUserCompanyDriversFire;Уволить
buttonUserCompanyDriversHire;Нанять
buttonUserCompanyGaragesBuy;Купить
buttonUserCompanyGaragesBuyDowngrade;Уменьшить
buttonUserCompanyGaragesBuyUpgrade;Купить и улучшить
buttonUserCompanyGaragesSell;Продать
buttonUserCompanyGaragesUpgrade;Расширить
buttonUserTrailerSelectCurrent;Текущий
buttonUserTrailerSwitchCurrent;Сменить текущий прицеп на выбранный
buttonUserTruckSelectCurrent;Текущий
buttonUserTruckSwitchCurrent;Сменить текущий грузовик на выбранный
checkBoxCreateBackup;Сделать бекап в .zip файле
checkBoxFreightMarketFilterDestination;Фильтровать
checkBoxFreightMarketFilterSource;Фильтровать
checkBoxFreightMarketRandomDest;Случайные
checkBoxFullCloning;Полное клонирование
checkBoxMutiCloning;Несколько копий
checkBoxProfilesAndSavesProfileBackups;Бэкапы
contextMenuStripCompanyDriversEdit;Управление
contextMenuStripCompanyDriversFire;Уволить
contextMenuStripCompanyDriversHire;Нанять
contextMenuStripFreightMarketJobListDelete;Удалить
contextMenuStripFreightMarketJobListEdit;Изменить
dialogCaptionNoBackwardCompatibility;Без обратной совместимости
dialogCaptionUnsupportedVersion;Непроверенная версия сохранения
dialogTextUnsupportedVersion;Версия сохранение {0} НЕ была ПРРОТЕСТИРОВАНА.\r\nВы можете продолжить, но это может ПОВРЕДИТЬ файл ПОСЛЕ СОХРАНЕНИЯ.\r\nПожалуйста НЕ ИСПОЛЬЗУЙТЕ АВТОСОХРАНЕНИЯ в данной ситуации!\r\n\r\nХотите продолжить и ЗАГРУЗИТЬ ЭТОТ ФАЙЛ?
dialogTextUnsupportedVersion;Версия файла сохранения {0} НЕ ПРОВЕРЯЛАСЬ на совместимость.\r\nВы можете продолжить, но программа может ПОВРЕДИТЬ файл сохранения ПОСЛЕ СОХРАНЕНИЯ.\r\nПожалуйста используйте РУЧНЫЕ СОХРАНЕНИЯ вместо автоматических в таком случае!\r\n\r\nВы хотите продолжить и попробовать ЗАГРУЗИТЬ ЭТОТ файл сохранения?\r\n(Вы можете расшифровать файл сохранения и вручную внести изменения)
error_could_not_complete_jobs_loop;Невозможно закольцевать маршрут
error_could_not_decode_file;Программа не смогла декодировать файл
error_could_not_find_file;Программа не смогла найти файл
error_could_not_write_to_file;Программа не смогла записать данные в файл
error_during_importing_db;Ошибка при импорте Базы данных
error_exception;Ошибка в программе
error_file_not_decoded;Файл не декодирован
error_file_was_modified;Файл был изменён другой программой
error_job_parameters_not_filled;Заполнены не все поля груза
error_save_version_not_detected;Версия Файла Сохранения не была определена
error_sql_exception;Ошибка Базы данных
FormAboutBox;О {0}
FormAddCustomFolder;Редактирование нестандартных путей сохранения
FormAIDriverEditor;Настройка водителя
FormColorPicker;Палитра цветов
FormLicensePlateEdit;Редактор Номерного знака
FormProfileEditor;Управление профилем
FormProfileEditorRenameCloneCloning;Клонирование
FormProfileEditorRenameCloneRenaming;Переименование
FormProfileEditorSettingsImportExportExporting;Экспорт из {0}
FormProfileEditorSettingsImportExportImporting;Импорт в {0}
FormProgramSettings;Настройки программы
FormSettings;Настройки
FormShareUserColors;Обмен пользовательскими цветами
FormVehicleEditor;Редактор транспорта
groupBoxDataBase;База данных
groupBoxDriverSkill;Навыки
groupBoxFolderType;Тип папки
groupBoxGameType;Игра
groupBoxImportedColors;Импортированные цвета
groupBoxMainProfilesAndSaves;Профили и Сохранения
groupBoxOptions;Настройки
groupBoxProfilePlayerLevel;Уровень игрока
groupBoxProfileSkill;Навыки
groupBoxProfileUserColors;Пользовательские цвета
groupBoxProfileUserColorsShort;Польз. цвета
groupBoxSelectFileExporting;В .zip файл
groupBoxSelectFileImporting;Из .zip файла
groupBoxTargetProfileExporting;Перенести в ...
groupBoxTargetProfileImporting;Взять из ...
groupBoxUserTrailerShareTrailerSettings;Поделиться настройками прицепа
groupBoxUserTrailerTrailer;Прицеп
groupBoxUserTrailerTrailerDetails;Детали
groupBoxUserTruckShareTruckSettings;Поделиться настройками грузовика
groupBoxUserTruckTruck;Грузовик
